"","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","n","Sex","MassSource","MassEffects","TimeToSample","ReproductivePeriod","Captive","Location","Notes","Family","Order"
"1","Acinonyx jubatus","",53500,628.4,7193.2,"EIA","9","ACTH","dry","adult",20.5,1.607,39,1,"F","AnAge",NA,"","","Captive","Florida, USA","Table 1","Felidae","Carnivora"
"2","Acomys cahirinus","",45.2,1077.33,1838.98,"EIA","4","ACTH","wet","subadult",5.9,6.143,37.5,10,"MF","AnAge",NA,"5-7hr","","Captive","Egypt","Figure 2, prioritize EIA2 ","Muridae","Rodentia"
"3","Ailuropoda melanoleuca","",117500,114.66,179.492,"EIA","17","Artifical semen collection & artifical insemination","dry","adult",36.8,NA,NA,9,"MF","AnAge",NA,"","","Captive","Shaanxi, China","","Ursidae","Carnivora"
"4","Artibeus jamaicensis","",42.2,557.46,NA,"EIA","22","","wet","",19.2,7.787,36.4,12,"MF","AnAge",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera"
"5","Artibeus lituratus","",65,872.25,NA,"EIA","22","","wet","",NA,8.588,37.3,5,"MF","AnAge",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera"
"6","Blastocerus dichotomus","",102500,130.333,NA,"EIA","4","","dry","adult and subadult",13.7,NA,NA,6,"MF","AnAge",NA,"0-4d","","Captive","São Paulo, Brazil","Captive animals only","Cervidae","Artiodactyla"
"7","Bos taurus","",750000,96.4,157,"EIA","1","Dry off","wet","adult",20,0.884,38,76,"F","AnAge",NA,"3d","Pregnant and lactating","Captive","Brandenburg, Germany","Figure 5","Bovidae","Artiodactyla"
"8","Canis rufus","",22983.2,525.6,2103.7,"EIA","9","ACTH","dry","adult",NA,NA,NA,1,"M","Other",NA,"","","Captive","Washington, USA","Table 2","Canidae","Carnivora"
"9","Capra hircus","",61000,124,1096,"EIA","1","ACTH","wet","adult",20.8,1.4,39.3,20,"F","AnAge",NA,"13hr","","Captive","Westerau, Germany","Assay B only","Bovidae","Artiodactyla"
"10","Capreolus capreolus","",25000,60.92,459,"EIA","1","ACTH","wet","",17.5,2.156,NA,5,"M","Source",NA,"9.7hr","Castrated","Captive","Wehr, Germany","Table 1","Cervidae","Artiodactyla"
"11","Cavia porcellus","",992.8,345,970,"EIA","1","Social interaction","dry","adult",12,3.333,39,20,"M","Source",NA,"6hr","","Captive","Vienna, Austria","Figure 4","Caviidae","Rodentia"
"12","Ceratotherium simum","",2175000,4.1,28.3,"HPLC","HPLC","Restraint & relocation","dry","adult",45,NA,NA,4,"MF","AnAge",NA,"0-24hr","","Captive","USA","Table 3","Rhinocerotidae","Perissodactyla"
"13","Cerdocyon thous","",6500,84.5,1638.53,"EIA","4","ACTH","","",12.7,1.562,38.2,3,"MF","AnAge",NA,"24-48hr","","Captive","Pantanal/MT, Brazil","Table 1","Canidae","Carnivora"
"14","Choeropsis liberiensis","",215000,6.3,19.2,"EIA","2","ACTH","wet","adult",42.3,NA,NA,4,"MF","AnAge",NA,"0-72hr","","Captive","North America","Table 1","Hippopotamidae","Artiodactyla"
