Group,Species,Mass,BasalFGC,ElevFGC,Method,AssayType,Stressor,FecesMass,Stage,MaxLifespan,MSMR,Temp,n,Sex,MassSource,MassEffects,TimeToSample,ReproductivePeriod,Captive,Location,Notes
,Acinonyx jubatus,53500,628.4,7193.2,EIA,9,ACTH,dry,adult,20.5,0.001607,39,1,F,AnAge,,,,Captive,"Florida, USA",Table 1
,Acomys cahirinus,45.2,1077.33,1838.98,EIA,4,ACTH,wet,subadult,5.9,0.006143,37.5,10,MF,AnAge,,5-7hr,,Captive,Egypt,"Figure 2, prioritize EIA2 "
,Ailuropoda melanoleuca,117500,114.66,179.492,EIA,17,Artifical semen collection & artifical insemination,dry,adult,36.8,,,9,MF,AnAge,,,,Captive,"Shaanxi, China",
,Artibeus jamaicensis,42.2,557.46,,EIA,22,,wet,,19.2,0.007787,36.4,12,MF,AnAge,,,,Wild,"Oaxaca, Mexico",Table 2
,Artibeus lituratus,65,872.25,,EIA,22,,wet,,,0.008588,37.3,5,MF,AnAge,,,,Wild,"Oaxaca, Mexico",Table 2
,Blastocerus dichotomus,102500,130.333,,EIA,4,,dry,adult and subadult,13.7,,,6,MF,AnAge,,0-4d,,Captive,"São Paulo, Brazil",Captive animals only
,Bos taurus,750000,96.4,157,EIA,1,Dry off,wet,adult,20,0.000884,38,76,F,AnAge,,3d,Pregnant and lactating,Captive,"Brandenburg, Germany",Figure 5
,Canis rufus,22983.2,525.6,2103.7,EIA,9,ACTH,dry,adult,,,,1,M,Other,,,,Captive,"Washington, USA",Table 2
,Capra aegargrus hircus,61000,124,1096,EIA,1,ACTH,wet,adult,20.8,0.0014,39.3,20,F,AnAge,,13hr,,Captive,"Westerau, Germany",Assay B only
,Capreolus capreolus,25000,60.92,459,EIA,1,ACTH,wet,,17.5,0.002156,,5,M,Source,,9.7hr,Castrated,Captive,"Wehr, Germany",Table 1
,Cavia porcellus,992.8,345,970,EIA,1,Social interaction,dry,adult,12,0.003333,39,20,M,Source,,6hr,,Captive,"Vienna, Austria",Figure 4
,Ceratotherium simum,2175000,4.1,28.3,HPLC,HPLC,Restraint & relocation,dry,adult,45,,,4,MF,AnAge,,0-24hr,,Captive,USA,Table 3
,Diceros bicornis,1100000,3,30.1,HPLC,HPLC,Restraint & relocation,dry,adult,57,,,5,MF,AnAge,,0-24hr,,Captive,USA,Table 3
,Cerdocyon thous,6500,84.5,1638.53,EIA,4,ACTH,,,12.7,0.001562,38.2,3,MF,AnAge,,24-48hr,,Captive,"Pantanal/MT, Brazil",Table 1
,Choeropsis liberiensis,215000,6.3,19.2,EIA,2,ACTH,wet,adult,42.3,,,4,MF,AnAge,,0-72hr,,Captive,North America,Table 1
,Crocuta crocuta,63000,43.75,744.95,EIA,2,ACTH,wet,adult,41.1,,,2,MF,AnAge,,24hr,,Captive,Czech Republic,
,Elephas maximus,3178000,17.1,,EIA,19,,dry,adult,79.6,0.000636,35.8,26,M,AnAge,,,Misc. (Some in Musth),Captive,USA,Captive only
,Felis catus,3900,463.05,1871,EIA,9,ACTH,dry,adult,30,0.00247,38.1,2,MF,AnAge,,0-5d,,Captive,"Virginia, USA",Table 1
,Giraffa camelopardalis,800000,23.725,49.3,EIA,9,ACTH,dry,adult,39.5,0.000874,37.1,2,M,AnAge,,13.5hr,,Captive,Misc.,Appendix 1
,Gorilla gorilla gorilla,139842,20,40,EIA,2,"Anesthesia, relocation, social interaction, and male introduction",wet,,60.1,,,6,MF,AnAge,,44hr,,Captive,UK,"Prioritized EIA, Table 1"
,Hylobates pileatus,5735,35.5,188.5,EIA,2,ACTH,dry,adult,38,,,2,MF,AnAge,,26hr,,Captive,Misc.,Table 2
,Lepus americanus,1600,1054,11130,EIA,1,ACTH,dry,adult,,0.004184,39.8,7,MF,AnAge,,10hr,,Captive,"Yukon, Canada",
,Loxodonta africana,4800000,69.7,,EIA,,,wet,adult,65,,,41,F,AnAge,,,,Wild,Tanzania,Limited to adult females to avoid juveniles
,Macaca tonkeana,11950,51.505,80.245,EIA,13,Relocation,dry,adult and juveniles,28.4,,,15,MF,AnAge,,1-2d,,Captive,France to Italy,Table 2
,Mazama gouazoubira,17000,181.5,770.5,EIA,4,ACTH,wet,adult and juveniles,14.8,,,2,MF,AnAge,,25hr,,Captive,"São Paulo, Brazil",
,Melursus ursinus,100000,48.7,1428.8,EIA,9,"Infection, male introduction, breeding",dry,adult,33.3,0.000703,,1,F,AnAge,,,,Captive,"Alaska, USA",Table 2
