"","X","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","n","Sex","MassSource","MassEffects","TimeToSample","ReproductivePeriod","Captive","Location","Notes","Family","Order","Hormone"
"1",1,"Acinonyx jubatus","",53500,436.6,5941.1,"RIA","14","ACTH","dry","adult",20.5,1.607,39,1,"F","AnAge",NA,"","","Captive","Florida, USA","Table 1","Felidae","Carnivora","Corticosterone"
"2",2,"Aepyceros melampus","",52500,45.74,NA,"RIA","14","","dry","",25.6,NA,NA,NA,"MF ","AnAge",NA,"","","Wild","KwaZulu-Natal, South Africa","Figure 2","Bovidae","Artiodactyla","Corticosterone"
"3",3,"Artibeus jamaicensis","",42.2,357.23,NA,"EIA","23","","wet","",19.2,7.787,36.4,12,"MF","AnAge",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera","Corticosterone"
"4",4,"Artibeus lituratus","",65,335.81,NA,"EIA","23","","wet","",NA,8.588,37.3,5,"MF","AnAge",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera","Corticosterone"
"5",5,"Canis rufus","",22983.2,162.1,1875,"RIA","14","ACTH","dry","adult",NA,NA,NA,2,"MF","Other",NA,"","","Captive","Washington, USA","Table 1","Canidae","Carnivora","Corticosterone"
"6",6,"Cervus elaphus","",2e+05,26.03,NA,"RIA","14","","wet","adult and subadult",31.5,1.678,35.2,30,"MF","AnAge",NA,"","","Wild","South Dakota, USA","Avg. winter and summer","Cervidae","Artiodactyla","Corticosterone"
"7",7,"Choeropsis liberiensis","",250000,102.75,283.9,"EIA","3","ACTH","wet","adult",42.3,NA,NA,4,"MF","Paper",NA,"0-72hr","","Captive","North America","Table 1","Hippopotamidae","Artiodactyla","Corticosterone"
"8",8,"Connochaetes taurinus","",164500,24.09,NA,"RIA","14","","dry","",24.3,1.171,38,NA,"MF ","AnAge",NA,"","","Wild","KwaZulu-Natal, South Africa","Figure 2","Bovidae","Artiodactyla","Corticosterone"
"9",9,"Ctenomys sociabilis","",400,62.6,291.4,"EIA","21","ACTH","","adult",NA,NA,NA,6,"F","Other",NA,"24hr","","Captive","California, USA","Figure 4","Ctenomyidae","Rodentia","Corticosterone"
"10",10,"Equus burchellii","",276000,14.08,NA,"RIA","14","","dry","",NA,NA,NA,NA,"MF ","Other",NA,"","","Wild","KwaZulu-Natal, South Africa","Figure 2","Equidae","Perissodactyla","Corticosterone"
