Species,MeanLifespan,Source
Acinonyx jubatus,12.1,AZA
Acomys cahirinus,,
Ailuropoda melanoleuca,4.77,Turbill
Artibeus jamaicensis,,
Artibeus lituratus,,
Blastocerus dichotomus,,
Bos taurus,,
Canis rufus,10.8,AZA
Capra aegargrus hircus,,
Capreolus capreolus,,
Cavia porcellus,,
Ceratotherium simum,36.5,AZA
Diceros bicornis,19,AZA
Cerdocyon thous,,
Choeropsis liberiensis,,
Crocuta crocuta,24,AZA
Elephas maximus,47.8,AZA
Felis catus,,
Giraffa camelopardalis,28.3,AZA
Gorilla gorilla gorilla,35.9,AZA
Hylobates pileatus,,
Lepus americanus,0.64,Turbill
Macaca tonkeana,,
Mazama gouazoubira,,
Melursus ursinus,15.9,AZA
Mesocricetus auratus,,
Microcebus murinus,1.84,Turbill
Moschus berezovskii,,
Mungos mungo,2.63,Turbill
Mustela nigripes,1.96,Turbill
Neofelis nebulosa,14.8,AZA
Ovibos moschatus,,
Pan troglodytes,25.81,Turbill
Panthera leo bleyenberghi,,
Panthera tigris sumatrae,17,AZA
Panthera tigris tigris,,
Pecari tajacu,,
Propithecus verreauxi,,
Rattus rattus,,
Rhinoceros unicornis,30.4,AZA
Spermophilus columbianus,,
Sturnira hondurensis,,
Sturnira parivdens,,
Suricata suricatta ,,
Tolypeutes matacus,17.8,AZA
Ursus thibetanus,29.3,AZA
Vulpes lagopus,1.7,Turbill
Vulpes vulpes,1.64,Turbill
Loxodonta africana,39.4,AZA
Aepyceros melampus,7.3,AZA
Cervus elaphus,,
Connochaetes taurinus,11.25,AZA
Ctenomys sociabilis,,
Equus burchellii,9.01,Turbill
Equus caballus,44.95,Turbill
Equus grevyi,,
Gerbillus andersoni,,
Gerbillus gerbillus,,
Gerbillus nanus,,
Gerbillus pyramidum,,
Lycaon pictus,10.1,AZA
Marmota flaviventris,2.8,Turbill
Mus musculus,,
Myrmecophaga tridactyla,19.2,AZA
Octodon degus,,
Odocoileus virginianus,,
Otolemur garnettii,13,AZA
Panthera onca,,
Papio ursinus,,
Peromyscus maniculatus,1.93,Turbill
Rangifer tarandus granti,,
Rangifer tarandus tarandus,,
Rattus norvegicus,,
Sturnira parvidens,,
Suricata suricatta,10.1,AZA
Syncerus caffer,18.8,AZA
Tragelaphus buxtoni,,
Tragelaphus strepsiceros,,
Ursus arctos horribilis,24.35,AZA
Ursus maritimus,20.8,AZA
