Species,Mean_lifespan
Orycteropus afer,14.7
Addax nasomaculatus,-
Dasyprocta leporina,8.2
Alligator sinensis,25
Buba/us depressicomis,Data deficient
Myrmecophagatridactyla,19.2
Hippotragus equinus,-
Hippotragus niger,11
Ammotragus Jervia blainei,Data deficient
Pferoglossus beauhamaesii,Data deficient
Pferog/ossus viridis,7.8
Argusianus argus,14.8
Chaetophractus vellerosus,Data deficient
Euphractus sexcinctus,Data deficient
Tolypeutes matacas,17.8
Equus africanus somaliensis,Data deficient
Daubentonia madagascariensis,Data deficient
Babyrousa ce/ebensis,-
Papio hamadryas,25.7
Rucervus duvaucelii,-
Pogonornis dubius,5.6
Trachyphonus erythrocephalus,4.6
Pferopus rodricensis,-
Eidolon helvum,-
Ursus americanus,Data deficient
Tremarctos ornatus,25.9
Ursus thibetanus,-
Ursus arctos,-
Ursus maritimus,-
Melursus ursinus,15.9
Helarctos malayanus,-
Bettongia penicillata,8.3
Arctictis binturong,-
Sagittarius serpentarius,Data deficient
"Paradisaea raggianaLophorina superba","14.58.2"
Irena puel/a,5.1
Chilabothrus subflavus,-
Lynx rufus,18.3
Trage/aphus eurycerus isaaci,-
Pan paniscus,-
Dama/iscus pygargus pygarus,11
Syncerus caffer,18.8
Spizixos semitorques,5
Ga/ago moholi,6.7
Lachesis muta,7.9
Lophotis gindiana,7.5
Turnix nigricollis,-
Cacicus cela,9
Callimico goeldii,9.5
Came/us bactrianus,17.8
Hydrochaeris hydrochaeris,-
Caracal caracal,12.9
Paroaria gularis,6.4
Paroaria coronata,4.1
Casuarius casuarius,21.8
Fe/is nigripes,5.3
Prionai/urus viverrinus,-
Fe/is manul,9.6
Fe/is margarita,10
Cossypha niveicapilla,4.4
Tragu/us napu,7.2
Tympanuchus cupido attwateri,3.2
Pan troglodytes,-
Sauromalus varius,11.4
Nasua narica,13.5
Ophiophagus hannah,Data deficient
Colobus angolensis,18.3
Colobus guereza,-
Vultur gryphus,Data deficient
Guarouba guarouba,15.2
Pha/acrocorax /ucidus,Data deficient
Coua cristata,Data deficient
Zapornia flavirostra,3.7
Balearica pavonina,13.3
Anthropoides paradisea,13.4
Anthropoides virgo,13.2
Balearica regu/orum,13.1
Grus monacha,14
Grus japonensis,29
Bugeranus carunculatus,-
Grus vipio,15.1
Grus americana,24
Crocodylus rhombifer,Data deficient
Crocodylus intermedius,Data deficient
Crocodylus siamensis,16.1
Mecistops cataphractus,Data deficient
Crax alberti,Data deficient
Pauxi pauxi,17.7
Crax g/obulosa,12.6
Rucervus eldii thamin,-
Mazama temama,5.3
Elaphodus cehalophus,-
Przewalskium albirostris,15.1
Madoqua kirkii,4.7
Burhinus capensis,16.4
Lycaon pictus,10.1
Speothos venaticus,-
Pfilinopus pulchellus,7.7
Pfilinopus melanospilus,6.5
Cha/cophaps indica,-
Ramphiculus jambu,5.8
Gallico/umba /uzonica,5.8
Pfilinopus roseicapilla,-
Gallico/umba criniger,4.6
Pfilinopus porphyrea,5.2
Gallicolumba xanthonura,Data deficient
Varanus komodoensis,-
Dendrocygna guttata,8.8
Dendrocygna arborea,8.9
Asarcornis scutulata,5.7
Cephalopus niger,-
Philantomba monticola,5.4
Cephalophus rufilatus,6.3
Cephalophus silvicultor,11.4
Haliaeetus /eucoephalus,16.5
Haliaeetus pelagicus,Data deficient
Tachyg/ossus acu/eatus,Data deficient
Taurotragus oryx,-
Loxodonta africana,-
Elephas maximus,-
Polihierax semitorquatus,7.1
Mustela nigripes,5.1
Phoenicopterus chilensis,-
Phoenicopterus ruber roseus,34.7
Phoeniconaias minor,-
Pferopus giganteus,10.3
Pferopus hypomelanus,-
Pferopus vampyrus,18.6
Cryptoprocta ferox,Data deficient
Otocyon megalotis,11.8
Vu/pes zerda,11.1
Vulpes velox,11.7
Lithobates (Rana) sevosa,6.6
Ate/opus varius,4.8
Ate/opus zeteki,-
Ate/opus zeteki,-
Podargus strigoides,-
Otolemur gamettii,13
Ce/estus warreni,-
Nanger dama ruficollis,-
Nanger granti,-
Nanger soemmerringii,-
Gazella /eptoceros,-
Eudorcas thomsonii,-
Uroplatus fimbriatus,4.5
Uroplatus henkeli,5.3
Uroplatus lineatus,4.6
Uroplatus sikorae,2.6
Uroplatus phantasticus,2.8
Oryx gaze/la gaze/la,11.7
Litocranius walleri,-
Gavia/is gangeticus,Data deficient
Tomistoma schlegelii,Data deficient
Nomascus leucogenys,28.3
Giraffa camelopardalis,
Nettapus auritus,6.2
Nettapus coromandelianus,5.2
Branta sandvicensis,7.8
Neochen jubata,Data deficient
Branta ruficollis,8.9
Anser cygnoides,12.9
Naemorhedus griseus,13.1
Gorilla gorilla gorilla,-
Cercopithecus wolfi,Data deficient
Guttera pucherani,7
Acryllium vulturinum,-
Scopus umbretta,-
Cochlearius cochlearius,8.9
Cheoropis liberiensi,-
