"","Species","Group","BodyMassPaper","BodyMassAnAge","BasalFGC","ElevFGC","BasalCortisol","BasalCorticosterone","ElevCortisol","ElevCorticosterone","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","RMR","Family","Order"
"1","Acinonyx jubatus","","",38446.1,232.9,3578,NA,NA,NA,NA,"RIA",14,"longitudinal analysis","dry","adult",20.5,0.001607,NA,NA,"Felidae","Carnivora"
"2","Aepyceros melampus","","",52500,45.744,NA,NA,NA,NA,NA,"RIA",14,"none","dry","",25.6,NA,NA,NA,"Bovidae","Artiodactyla"
"3","Artibeus jamaicensis","","",42.2,357.23,NA,NA,NA,NA,NA,"EIA",23,"none","wet","",19.2,0.007787,NA,NA,"Phyllostomidae","Chiroptera"
"4","Artibeus lituratus","","",65,335.81,NA,NA,NA,NA,NA,"EIA",23,"none","wet","",NA,0.008588,NA,NA,"Phyllostomidae","Chiroptera"
"5","Canis rufus","","",22983.2,215.8,684.8,NA,NA,NA,NA,"RIA",14,"longitudinal analysis","dry","adult",NA,NA,NA,NA,"Canidae","Carnivora"
"6","Cebus apella","Yes/NWP","",2643,1240,64845,NA,NA,NA,NA,"EIA",8,"ACTH","dry","adult",46,0.00262,NA,NA,"Cebidae","Primates"
"7","Cervus elaphus","","",2e+05,26.03,NA,NA,NA,NA,NA,"RIA ",14,"N/A","wet","",31.5,0.001678,NA,NA,"Cervidae","Artiodactyla"
"8","Choeropsis liberiensis","","",215000,102.75,283.9,NA,NA,NA,NA,"EIA",3,"ACTH","wet","",42.3,NA,NA,NA,"Hippopotamidae","Artiodactyla"
"9","Connochaetes taurinus","","",164500,24.092,NA,NA,NA,NA,NA,"RIA",14,"none","dry","",24.3,0.001171,NA,NA,"Bovidae","Artiodactyla"
"10","Ctenomys sociabilis","","",400,43.713,NA,NA,NA,NA,NA,"EIA",21,"none","?","",NA,NA,NA,NA,"Ctenomyidae","Rodentia"
"11","Equus burchellii","","",275000,14.075,NA,NA,NA,NA,NA,"RIA",14,"none","dry","",NA,NA,NA,NA,"Equidae","Perissodactyla"
"12","Equus caballus","","",444900,24.02,33.51,NA,NA,NA,NA,"RIA",14,"relocation","dry","",57,0.000815,NA,NA,"Equidae","Perissodactyla"
"13","Equus grevyi","","",384000,16.2,25.1,NA,NA,NA,NA,"RIA",14,"relocation","dry","adult",31,NA,NA,NA,"Equidae","Perissodactyla"
"14","Felis catus","","",3900,354.7,544.5,NA,NA,NA,NA,"RIA",14,"longitudinal analysis","dry","adult",30,0.00247,NA,NA,"Felidae","Carnivora"
"15","Gerbillus andersoni","","",21,797,2377,NA,NA,NA,NA,"EIA",12,"ACTH","dry","",NA,NA,NA,NA,"Muridae","Rodentia"
"16","Gerbillus gerbillus","","",30,2842.33,NA,NA,NA,NA,NA,"EIA",10,"ACTH","dry","non-breeding adults",5.9,0.00798,NA,NA,"Muridae","Rodentia"
"17","Gerbillus nanus","","",18.5,183,589,NA,NA,NA,NA,"EIA",12,"ACTH","dry","",4.5,0.004343,NA,NA,"Muridae","Rodentia"
"18","Gerbillus pyramidum","","",37,1711.28,NA,NA,NA,NA,NA,"EIA",10,"ACTH","dry","non-breeding adults",8.2,0.004184,NA,NA,"Muridae","Rodentia"
"19","Giraffa camelopardalis","","",8e+05,64.7583,178.8,NA,NA,NA,NA,"EIA",10,"ACTH","dry","adult and juveniles",39.5,0.000874,NA,NA,"Giraffidae","Artiodactyla"
"20","Gorilla gorilla gorilla","Yes","",139842,60,140,NA,NA,NA,NA,"EIA",8,"various","wet","",60.1,NA,NA,NA,"Hominidae","Primates"
"21","Hylobates pileatus","Yes","",5735,26.667,749.5,NA,NA,NA,NA,"EIA",8,"ACTH","dry","adult",38,NA,NA,NA,"Hylobatidae","Primates"
"22","Lycaon pictus","","",26500,267.75,4446,NA,NA,NA,NA,"HPLC, RIA",14,"ACTH","dry","Two 2 yr-old females, one 3-yr old female, two 8 yr-old males",17,0.003773,NA,NA,"Canidae","Carnivora"
"23","Marmota flaviventris","","",3500,132,4417,NA,NA,NA,NA,"RIA",14,"ACTH","dry","adult (non-breeding)",21.2,0.002008,NA,NA,"Sciuridae","Rodentia"
"24","Melursus ursinus","","",1e+05,64.1,666.5,NA,NA,NA,NA,"RIA",14,"longitudinal analysis","dry","adult",33.3,0.000703,NA,NA,"Ursidae","Carnivora"
"25","Microcebus murinus","Yes","",64.8,90,870,NA,NA,NA,NA,"EIA",8,"capture","wet","",18.2,NA,NA,NA,"Cheirogaleidae","Primates"
"26","Mungos mungo","","",1332,1030,2120,NA,NA,NA,NA,"EIA",10,"ACTH","dry","",17.4,NA,NA,NA,"Herpestidae","Carnivora"
"27","Mus musculus","","",20.5,4472.05,NA,NA,NA,NA,NA,"RIA",14,"housing (but showed no significant difference in stress levels)","dry","9 weeks old",4,0.015056,NA,NA,"Muridae","Rodentia"
"28","Mustela nigripes","","",1021,101.9,174.7,NA,NA,NA,NA,"RIA",14,"longitudinal analysis","dry","adult",9.4,NA,NA,NA,"Mustelidae","Carnivora"
"29","Neofelis nebulosa","","",19500,302.2,1621.8,NA,NA,NA,NA,"RIA",14,"longitudinal analysis","dry","adult",19.8,NA,NA,NA,"Felidae","Carnivora"
"30","Octodon degus","","",235,NA,NA,NA,NA,NA,NA,"RIA",14,"ACTH","dry","",14,0.0048,NA,NA,"Octodontidae","Rodentia"
"31","Odocoileus virginianus","","",87000,67.5,190.25,NA,NA,NA,NA,"RIA ",14,"ACTH","dry","adult",23,0.001996,NA,NA,"Cervidae","Artiodactyla"
"32","Otolemur garnettii","Yes","",1300,NA,NA,NA,NA,NA,NA,"RIA",14,"relocation","wet","About 4 yrs-old?",20,0.002989,NA,NA,"Galagidae","Primates"
"33","Ovibos moschatus","","",315000,14.9099,53.3156,NA,NA,NA,NA,"EIA",10,"ACTH","wet","juvenile",27.4,NA,NA,NA,"Bovidae","Artiodactyla"
