Group,Species,BodyMassPaper,BodyMassAnAge,BasalFGC,ElevFGC,BasalCortisol,BasalCorticosterone,ElevCortisol,ElevCorticosterone,Method,AssayType,Stressor,FecesMass,Stage,MaxLifespan,MSMR,Temp,RMR
Other,Bos taurus,,750000,96.4,,,,,,EIA,1,N/A,wet,adult (pregnant and lactating),20,0.000884,38,
Other,Camelus dromedarius,"410,000",434000,503.9,2060.93,,,,,"HPLC, EIA",1,ACTH,wet,juvenile and adult,28.4,0.000552,37.5,
Other,Capra aegargrus hircus,,61000,124,1096,,,,,EIA,1,ACTH,wet,adult,20.8,0.0014,39.3,
Other,Capreolus capreolus,,21667,,,60.92,,459.00,,EIA,1,ACTH,wet,,17.5,0.002156,,
Other,Cavia porcellus,992.8,728,,,349.23,,,,EIA,1,N/A,dry,,12,0.003333,39,
Other,Choeropsis liberiensis,,215000,43.5,245.8,,,,,EIA,1,ACTH,wet,,42.3,,,
Other,Lepus americanus,1500,1600,,,1054,,11130.00,,EIA,1,ACTH,dry,adult,,0.004184,39.8,
Old Primate,Gorilla gorilla gorilla,,139842,,,20,,40.00,,EIA,2,various,wet,,60.1,,,N/A
Old Primate,Hylobates pileatus,,5735,,,33,,188.50,,EIA,2,ACTH,dry,adult,38,,,N/A
Old Primate,Microcebus murinus,,64.8,,,420,,1940.00,,EIA,2,capture,wet,,18.2,,,N/A
Other,Choeropsis liberiensis,,215000,,,6.3,,19.20,,EIA,2,ACTH,wet,,42.3,,,
Other,Crocuta crocuta,,63000,,,43.75,,744.95,,EIA,2,ACTH,wet,adult,41.1,,,N/A
New Primate,Cebus apella/ Sapajus apella,,2643,,,7860,,121250.00,,EIA,2,ACTH,dry,adult,46,0.00262,,143 kcal/d
New Primate,Sapajus libidinosus,3036.36,2800,,,4375,,43600.00,,EIA,2,ACTH,wet,adult,,,,
Other,Choeropsis liberiensis,,215000,,,,102.75,,283.90,EIA,3,ACTH,wet,,42.3,,,
Other,Acomys cahirinus,,45,1077.33,1838.98,,,,,EIA,4,ACTH,wet,subadult,5.9,0.006143,37.5,
Other,Blastocerus dichotomus,,102500,130.33,,,,,,EIA,4,N/A,dry,adult and juveniles,13.7,,,
Other,Capra aegargrus hircus,,61000,316,2423,,,,,EIA,4,ACTH,wet,adult,20.8,0.0014,39.3,
Other,Cerdocyon thous,,6500,84.5,1638.53,,,,,EIA,4,ACTH,N/A,N/A,12.7,0.001562,38.2,
Other,Mazama gouazoubira,,17000,181.5,770.5,,,,,EIA,4,ACTH,dry,adult and juveniles,14.8,,,
Other,Mesocricetus auratus,,105,204.55,346,,,,,EIA,4,ACTH,dry,adult,3.9,0.006377,38.1,
Old Primate,Gorilla gorilla gorilla,,139842,620,1800,,,,,EIA,5,various,wet,,60.1,,,N/A
Old Primate,Hylobates pileatus,,5735,1683.33,24310,,,,,EIA,5,ACTH,dry,adult,38,,,N/A
Old Primate,Microcebus murinus,,64.8,200,4500,,,,,EIA,5,capture,wet,,18.2,,,N/A
Old Primate,Propithecus verreauxi,,5000,917.5,2312.5,,,,,EIA,5,ACTH,wet,adult,31,0.001116,36,
Other,Choeropsis liberiensis,,215000,147.15,333.35,,,,,EIA,5,ACTH,wet,,42.3,,,
Other,Choeropsis liberiensis,,215000,27,109.7,,,,,EIA,5,ACTH,wet,,42.3,,,
